# 分类,频道，清晰度,来源,地址[,排序]

央视,CCTV-17农业农村,高清,北邮,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8

央视,CCTV-1综合,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv1.m3u8
央视,CCTV-2财经,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
央视,CCTV-3综艺,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv3.m3u8
央视,CCTV-4中文国际,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
央视,CCTV-6电影,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv6.m3u8
央视,CCTV-8电视剧,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv8.m3u8
央视,CCTV-9纪录,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
央视,CCTV-10科教,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
央视,CCTV-11戏曲,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv11.m3u8
央视,CCTV-12社会与法,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv12.m3u8
央视,CCTV-13新闻,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
央视,CCTV-14少儿,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
央视,CCTV-15音乐,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
央视,CCTV-17农业农村,标清,北邮,http://ivi.bupt.edu.cn/hls/cctv17.m3u8

卫视,北京卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
卫视,湖南卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
卫视,江苏卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/jshd.m3u8
卫视,东方卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
卫视,安徽卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
卫视,黑龙江卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
卫视,辽宁卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
卫视,深圳卫视,高清,北邮,http://ivi.bupt.edu.cn/hls/szhd.m3u8
